model_id,source_repo,source_lang,target_lang,vocab_size,model_type,eval_method,variants,stars,quality_label,status
windy-tier-m2m100_418M,unknown,windy,m2m100_418M,0,translation,seq2seq,,,,failed
windy-tier-Tower-Plus-2B,unknown,windy,2B,0,translation,seq2seq,,,,failed
hplt-fa-en,HPLT/translate-fa-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-az-en,HPLT/translate-az-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-nb,HPLT/translate-en-nb-v2.0-hplt_opus,hplt,nb,0,translation,seq2seq,"base,ct2,lora",,,failed
hplt-tr-en,HPLT/translate-tr-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-kn-en,HPLT/translate-kn-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
mbart-large-50-many-to-many-mmt,Helsinki-NLP/opus-mt-mbart-large-50-many-to-many-mmt,mbart,mmt,0,translation,seq2seq,,,,failed
hplt-en-ml,HPLT/translate-en-ml-v2.0-hplt_opus,hplt,ml,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-sl-en,HPLT/translate-sl-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
madlad400-3b-mt,Helsinki-NLP/opus-mt-madlad400-3b-mt,madlad400,mt,0,translation,seq2seq,,,,failed
hplt-ko-en,HPLT/translate-ko-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-uz,HPLT/translate-en-uz-v2.0-hplt_opus,hplt,uz,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-mk-en,HPLT/translate-mk-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-ne,HPLT/translate-en-ne-v2.0-hplt_opus,hplt,ne,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-ta-en,HPLT/translate-ta-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-cy-en,HPLT/translate-cy-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
wpl-en-ru,WindyProLabs/windy-pair-en-ru,wpl,ru,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-ALMA-13B-R,unknown,windy,R,0,translation,seq2seq,,,,failed
hplt-uz-en,HPLT/translate-uz-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-en-lv,HPLT/translate-en-lv-v2.0-hplt_opus,hplt,lv,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-ALMA-7B-R,unknown,windy,R,0,translation,seq2seq,,,,failed
hplt-ne-en,HPLT/translate-ne-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
windy-tier-madlad400-3b-mt,unknown,windy,mt,0,translation,seq2seq,,,,failed
hplt-en-ms,HPLT/translate-en-ms-v2.0-hplt_opus,hplt,ms,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
hplt-mr-en,HPLT/translate-mr-en-v2.0-hplt_opus,hplt,en,0,translation,seq2seq,"base,ct2,ct2_int8,lora",,,failed
